time,layer1_out0,layer1_out1,layer1_out2,layer1_out3,layer1_out4,layer1_out5,layer1_out6,layer1_out7
0,0,0,0,0,0,1,1,0
55000,0,0,0,0,0,1,1,1
65000,0,0,0,0,0,1,1,97
275000,0,0,0,0,0,1,1,98
285000,0,0,0,0,0,1,1,99
495000,0,0,0,0,0,1,1,100
505000,0,0,0,0,0,1,1,101
715000,0,0,0,0,0,1,1,102
725000,0,0,0,0,0,1,1,103
935000,0,0,0,0,0,1,1,104
945000,0,0,0,0,0,1,1,105
1155000,0,0,0,0,0,1,1,106
1165000,0,0,0,0,0,1,1,107
1375000,0,0,0,0,0,1,1,108
1385000,0,0,0,0,0,1,1,109
1595000,0,0,0,0,0,1,1,110
1605000,0,0,0,0,0,1,1,111
1815000,0,0,0,0,0,1,1,112
1825000,0,0,0,0,0,1,1,97
2035000,0,0,0,0,0,1,1,98
2045000,0,0,0,0,0,1,1,99
